,name,album,danceability,loudness,energy,mode,liveness,valance,tempo
0,futuristic imagination,futuristic imagination,0.361,-2.375,0.894,1,0.0414,0.607,170.062
1,ジ・エンターテイナー,EAC HAYATO's BEST SELECTION,0.243,-6.389,0.824,1,0.288,0.319,79.627
2,Better Man,WHAT'S GONNA BE?,0.603,-5.006,0.753,1,0.075,0.818,208.041
3,混ぜるな危険,真っ黒,0.449,-5.87,0.77,1,0.0831,0.743,90.678
4,逃げ水踊る,夜光雲,0.685,-7.316,0.531,0,0.0896,0.869,93.956
5,Into the Spiral,Into the Spiral,0.264,-5.403,0.916,1,0.22,0.603,189.472
6,scapegoat,Face to Face,0.636,-6.222,0.562,0,0.367,0.38,109.793
7,Close to you,HELP EVER HURT COVER,0.572,-12.878,0.266,1,0.313,0.389,134.862
8,light prayer,amp-reflection,0.35,-3.12,0.986,0,0.0815,0.375,188.045
9,またたき,またたき,0.536,-6.205,0.468,0,0.39,0.397,85.967
10,Sunshine,Too Much Is Never Enough,0.572,-3.666,0.852,0,0.332,0.777,180.156
11,アイネクライネ,EAC HIRO's BEST SELECTION,0.376,-5.299,0.566,1,0.0838,0.0696,99.758
12,地上を夢見る魚,地上を夢見る魚,0.793,-5.644,0.765,0,0.291,0.85,99.974
13,踊らせないで,LOVE/LIKE/HATE,0.736,-5.816,0.705,1,0.0725,0.84,106.99
14,marten,marten,0.522,-6.763,0.863,0,0.257,0.665,140.108
15,DeLorean,VISTA,0.635,-7.634,0.859,0,0.104,0.825,121.981
16,組曲「惑星」から木星,EAC HAYATO's BEST SELECTION,0.301,-6.999,0.81,1,0.255,0.495,173.106
17,Melt,For A Lonely Heart,0.689,-6.748,0.512,1,0.0676,0.436,97.987
18,How to go,アニソンLOVE! 蒼組,0.473,-3.251,0.956,0,0.334,0.516,160.01
19,BLOOM feat. TENDRE,TREASURE BOX,0.795,-4.356,0.869,1,0.0835,0.837,98.019
20,future nova,future nova/after laughter,0.494,-1.616,0.977,0,0.146,0.38,140.034
21,ハンガリー舞曲 第5番,EAC HAYATO's BEST SELECTION,0.37,-9.875,0.483,0,0.112,0.446,145.484
22,Plane Garden,MUSIC WARDROBE,0.734,-7.394,0.595,1,0.33,0.614,90.999
23,MIND CIRCUS (feat. ひかり),MIND CIRCUS (feat. ひかり),0.77,-6.277,0.811,1,0.0663,0.714,113.004
24,So What,So What,0.77,-6.662,0.646,1,0.322,0.756,114.952
25,ODDTAXI,ODDTAXI,0.586,-6.939,0.549,0,0.198,0.615,180.008
26,if,Face to Face,0.696,-6.119,0.762,1,0.0601,0.417,113.96
27,Gold Plate,Too Much Is Never Enough,0.652,-4.391,0.737,0,0.0914,0.688,203.911
28,Step by Step,Rocket Science,0.815,-6.229,0.678,0,0.102,0.78,115.98
29,ヘビースモーク,odds and ends,0.435,-4.725,0.631,1,0.297,0.496,137.959
30,Keep In Touch - feat. SUMIN,cure,0.791,-10.668,0.373,0,0.0759,0.756,97.031
31,Zzz,sympathetic world,0.621,-3.9,0.884,1,0.153,0.708,153.984
32,ハレーション,Prog-Roid,0.507,-5.347,0.774,1,0.0749,0.37,140.0
33,Groovynight,Groovynight,0.751,-5.057,0.645,0,0.0496,0.768,105.019
34,時のきらめき,PIANO SWITCH,0.466,-19.52,0.251,1,0.123,0.137,94.246
35,Hero,Hero,0.725,-5.88,0.591,1,0.35,0.485,92.94
36,ZERO GRAVITY,FUTURE,0.791,-6.672,0.614,0,0.15,0.7,123.055
37,Colorless,COLORLESS,0.396,-6.301,0.657,1,0.117,0.33,182.037
38,リベルタンゴ,BATTLE NOTES,0.323,-5.206,0.703,0,0.0815,0.287,92.661
39,ceremony,ceremony,0.752,-7.628,0.59,1,0.438,0.549,92.979
40,Crazy In Love,Crazy In Love,0.554,-4.229,0.668,1,0.0734,0.932,204.053
41,deviswitch,light prayer,0.479,-3.406,0.951,1,0.233,0.771,185.083
42,Step into Love,Step into Love,0.634,-7.225,0.558,1,0.0998,0.534,92.978
43,Hallelujah,MUSIC WARDROBE,0.62,-3.291,0.877,1,0.0392,0.828,140.043
44,Shine,Shine,0.605,-6.863,0.745,1,0.179,0.566,139.959
45,after laughter,amp-reflection,0.414,-3.151,0.927,1,0.22,0.621,180.017
46,HORN,HORN,0.645,-5.911,0.873,0,0.0269,0.967,137.02
47,Summertime,MUSIC WARDROBE,0.379,-3.389,0.875,1,0.12,0.439,101.875
48,It's a Small World,Disney Rocks!!!!,0.409,-7.132,0.455,1,0.273,0.252,97.406
49,産声,産声,0.557,-3.042,0.673,1,0.0613,0.584,139.07
